x,y
4090078,3969000
1336090,982000
795083,393000
1027366,1199000
2827593,2474000
2006472,1575000
2748527,2073000
2038474,2014000
4033215,3030000
8040065,9021000
2784829,2434000
1907681,1609000
2161128,1669000
1957564,1755000
4145969,3085000
2817980,2464000
1933889,1552000
844835,699000
1500638,1183000
1268076,1080000
1265513,1048000
4118944,3027000
1145912,1055000
3135145,2649000
976222,759000
3539435,2761000
1606800,1773000
1819373,1696000
1110295,1061000
1101974,875000
1223644,1244000
2560707,2023000
1496664,1288000
799993,729000
1531408,1197000
3140191,2139000
4752120,5056000
696420,608000
1849197,1200000
1317479,1387000
1500873,1214000
2363649,2519000
812971,875000
1456174,1361000
2012362,1450000
1431728,1435000
2670212,2923000
2222219,1579000
3631260,3503000
1008267,1188000
3345526,2753000
5516899,5980000
4023383,3387000
3108428,2565000
5534782,6126000
1676234,1463000
1429654,1256000
3257499,2206000
3249249,2687000
2713628,2963000
863020,835000
1601117,928000
522628,698000
1501624,1455000
8251702,6972000
1472313,1494000
1492128,1446000
3860760,3205000
1264426,1188000
888378,940000
3969120,3333000
730522,638000
4036450,3398000
1900471,966000
1623673,1559000
1066230,1008000
2907238,2756000
1235789,1205000
1249934,1019000
1224007,711000
1735442,2028000
2984180,2320000
3140781,2559000
3128357,2577000
1570812,1786000
990505,1043000
1891347,778000
2149632,2019000
986644,803000
2042019,1932000
982794,1210000
3816787,3179000
2063970,1976000
1405416,1065000
1146156,1070000
2560225,2502000
2749345,1913000
8690490,5903000
989557,1213000
1604088,1055000
1834851,1242000
1025806,1093000
2722376,3021000
1319278,1601000
2359257,1475000
3784840,3623000
2363406,2591000
1048030,986000
1177521,1142000
4002543,3285000
1577289,1305000
1437228,1285000
3034174,2049000
931964,1008000
2407025,1186000
3992519,4437000
902469,835000
1338623,1314000
2854444,1335000
752798,518000
923500,1100000
2748268,2993000
1983558,1857000
1946198,1869000
3088561,2075000
3997147,3451000
7685621,8286000
2701828,2951000
2121629,2000000
1993299,1734000
1881432,1917000
4119679,3472000
2741513,3015000
1913676,1775000
875614,761000
1210154,1223000
1155252,1097000
1484064,1432000
4091868,3405000
3107818,2604000
1199976,985000
904256,775000
4268860,3022000
2112489,1746000
1552024,1723000
1097329,1156000
1042791,933000
1165333,1128000
3424767,2293000
1434044,1370000
775495,745000
1512883,1474000
3046439,2206000
4422741,4840000
659022,629000
1789447,1268000
1279987,1544000
1546784,1513000
2201182,2411000
941374,951000
1570298,1212000
1277697,1284000
1724360,835000
2488344,2761000
1747355,1315000
3507231,3456000
949787,1166000
5041183,5174000
2770841,2128000
2498541,2094000
5110944,6310000
3754807,3602000
1360041,1281000
1575243,1455000
3226227,2249000
2717525,2291000
2526511,2788000
808852,802000
1406601,1075000
586253,883000
1800333,940000
7701481,7288000
1418942,1486000
1790985,936000
